Bar,Side,PMT,HV Cable (PMT to PP),HV PP,PP Channel,Multiway,CAEN Channel Name,CAEN Channel Number
44,Left,254,H-HV-L44,H-HV-PP-L0,2-12,H-HV-MW-L0,hodo_L44,2.0045
44,Right,255,H-HV-R44,H-HV-PP-R0,2-12,H-HV-MW-R0,hodo_R44,0.0045
45,Left,307,H-HV-L45,H-HV-PP-L0,2-13,H-HV-MW-L0,hodo_L45,2.0046
45,Right,306,H-HV-R45,H-HV-PP-R0,2-13,H-HV-MW-R0,hodo_R45,0.0046
46,Left,226,H-HV-L46,H-HV-PP-L0,2-14,H-HV-MW-L0,hodo_L46,2.0047
46,Right,217,H-HV-R46,H-HV-PP-R0,2-14,H-HV-MW-R0,hodo_R46,0.0047
47,Left,286,H-HV-L47,H-HV-PP-L0,2-15,H-HV-MW-L0,hodo_L47,2.0048
47,Right,287,H-HV-R47,H-HV-PP-R0,2-15,H-HV-MW-R0,hodo_R47,0.0048
48,Left,111,H-HV-L48,H-HV-PP-L1,2-15,H-HV-MW-L1,hodo_L48,6.0001
48,Right,114,H-HV-R48,H-HV-PP-R1,0-0,H-HV-MW-R1,hodo_R48,4.0001
49,Left,285,H-HV-L49,H-HV-PP-L1,2-14,H-HV-MW-L1,hodo_L49,6.0002
49,Right,284,H-HV-R49,H-HV-PP-R1,0-1,H-HV-MW-R1,hodo_R49,4.0002
50,Left,88,H-HV-L50,H-HV-PP-L1,2-13,H-HV-MW-L1,hodo_L50,6.0003
50,Right,207,H-HV-R50,H-HV-PP-R1,0-2,H-HV-MW-R1,hodo_R50,4.0003
51,Left,249,H-HV-L51,H-HV-PP-L1,2-12,H-HV-MW-L1,hodo_L51,6.0004
51,Right,250,H-HV-R51,H-HV-PP-R1,0-3,H-HV-MW-R1,hodo_R51,4.0004
52,Left,236,H-HV-L52,H-HV-PP-L1,2-11,H-HV-MW-L1,hodo_L52,6.0005
52,Right,232,H-HV-R52,H-HV-PP-R1,0-4,H-HV-MW-R1,hodo_R52,4.0005
53,Left,310,H-HV-L53,H-HV-PP-L1,2-10,H-HV-MW-L1,hodo_L53,6.0006
53,Right,311,H-HV-R53,H-HV-PP-R1,0-5,H-HV-MW-R1,hodo_R53,4.0006
54,Left,108,H-HV-L54,H-HV-PP-L1,2-9,H-HV-MW-L1,hodo_L54,6.0007
54,Right,109,H-HV-R54,H-HV-PP-R1,0-6,H-HV-MW-R1,hodo_R54,4.0007
55,Left,242,H-HV-L55,H-HV-PP-L1,2-8,H-HV-MW-L1,hodo_L55,6.0008
55,Right,241,H-HV-R55,H-HV-PP-R1,0-7,H-HV-MW-R1,hodo_R55,4.0008
56,Left,220,H-HV-L56,H-HV-PP-L1,2-7,H-HV-MW-L1,hodo_L56,6.0009
56,Right,209,H-HV-R56,H-HV-PP-R1,0-8,H-HV-MW-R1,hodo_R56,4.0009
57,Left,247,H-HV-L57,H-HV-PP-L1,2-6,H-HV-MW-L1,hodo_L57,6.0010
57,Right,248,H-HV-R57,H-HV-PP-R1,0-9,H-HV-MW-R1,hodo_R57,4.0010
58,Left,223,H-HV-L58,H-HV-PP-L1,2-5,H-HV-MW-L1,hodo_L58,6.0011
58,Right,222,H-HV-R58,H-HV-PP-R1,0-10,H-HV-MW-R1,hodo_R58,4.0011
59,Left,128,H-HV-L59,H-HV-PP-L1,2-4,H-HV-MW-L1,hodo_L59,6.0012
59,Right,129,H-HV-R59,H-HV-PP-R1,0-11,H-HV-MW-R1,hodo_R59,4.0012
60,Left,91,H-HV-L60,H-HV-PP-L1,2-3,H-HV-MW-L1,hodo_L60,6.0013
60,Right,84,H-HV-R60,H-HV-PP-R1,0-12,H-HV-MW-R1,hodo_R60,4.0013
61,Left,296,H-HV-L61,H-HV-PP-L1,2-2,H-HV-MW-L1,hodo_L61,6.0014
61,Right,297,H-HV-R61,H-HV-PP-R1,0-13,H-HV-MW-R1,hodo_R61,4.0014
